0175.HK.Open,0175.HK.High,0175.HK.Low,0175.HK.Close,0175.HK.Volume,0175.HK.Adjusted
3.4,3.44,3.35,3.43,26748244,3.071969
3.47,3.51,3.42,3.49,35061386,3.125706
3.55,3.64,3.51,3.61,46123030,3.23318
3.7,3.79,3.64,3.79,80986374,3.394391
3.9,3.9,3.76,3.79,60671955,3.394391
3.83,3.85,3.7,3.72,35699186,3.331698
3.7,3.73,3.6,3.69,37324384,3.30483
3.75,3.82,3.73,3.8,63722124,3.403348
3.86,3.86,3.74,3.77,42314770,3.376479
3.78,3.8,3.69,3.74,22411693,3.349611
3.74,3.76,3.6,3.63,32778344,3.251092
3.62,3.68,3.58,3.62,28293302,3.242136
3.63,3.65,3.56,3.59,25306839,3.215268
3.58,3.62,3.52,3.61,14698200,3.23318
3.54,3.67,3.54,3.54,17272050,3.170487
3.54,3.63,3.52,3.6,24677572,3.224224
3.6,3.71,3.6,3.7,36316803,3.313786
3.71,3.81,3.68,3.79,45415594,3.394391
3.8,3.88,3.77,3.84,40217176,3.439172
3.87,3.87,3.62,3.63,41569222,3.251092
3.62,3.7,3.56,3.66,25703564,3.277961
3.68,3.7,3.65,3.66,15959830,3.277961
3.69,3.71166666666667,3.65833333333333,3.66833333333333,17576775.8333333,3.2854245
3.74,3.77,3.7,3.71,25661505,3.322742
3.71,3.73,3.65,3.67,20553435,3.286917
3.67,3.69,3.53,3.54,33194945,3.170487
3.48,3.57,3.45,3.46,30444693,3.098838
3.51,3.68,3.48,3.66,34571895,3.277961
3.69,3.8,3.67,3.79,41047600,3.394391
3.74,3.78,3.64,3.76,32095829,3.367523
3.74,3.75,3.64,3.65,25531960,3.269005
3.65,3.69,3.6,3.67,32436762,3.286917
3.67,3.67,3.56,3.59,36237305,3.215268
3.6,3.6,3.54,3.55,32226915,3.179443
3.49,3.52,3.43,3.44,26877000,3.080925
3.4,3.45,3.35,3.39,35288735,3.036144
3.38,3.44,3.29,3.3,31339139,2.955539
3.28,3.35,3.26,3.29,43086860,2.946583
3.29,3.39,3.28,3.34,15141195,2.991363
3.37,3.43,3.36,3.37,17725765,3.018232
3.36,3.37,3.33,3.34,18582735,2.991363
3.37,3.45,3.37,3.43,22363399,3.071969
3.5,3.52,3.39,3.4,25284090,3.0451
3.38,3.43,3.27,3.29,96796505,2.946583
3.32,3.37,3.29,3.35,33382036,3.000319
3.36,3.38,3.29,3.31,37249725,2.964495
3.31,3.31,3.2,3.22,52172225,2.883889
